Credit_Limit,Sex,Education,Marital_Status,Age,Jan_Repay_Status,Jan_Statement,Feb_Repay_Status,Previous_Payment_Prior_Feb,Feb_Statement,Mar_Repay_Status,Previous_Payment_Prior_Mar,Mar_Statement,Apr_Repay_Status,Previous_Payment_Prior_Apr,Apr_Statement,May_Repay_Status,Previous_Payment_Prior_May,May_Statement,Jun_Repay_Status,Previous_Payment_Prior_Jun,Jun_Statement,Amount owed,Amount paid,Amount left,July_Payment_Status,Feb.Credit.Capacity,Mar.Credit.Capacity,Apr.Credit.Capacity,May.Credit.Capacity,Jun.Credit.Capacity,Overall.Credit.Capacity
7200,2,1,1,34,-1,1508,-1,1291,1280,-1,1887,1290,-1,1771,1887,0,3440,2171,0,5929,4482,8136,14318,-6182,0,17.7777777778,17.9166666667,26.2083333333,30.1527777778,62.25,30.8611111111
6700,1,4,1,39,11,1586,12,2611,2828,4,482,809,6,4115,4185,3,355,378,12,5492,6437,9786,13055,-3269,0,42.2089552239,12.0746268657,62.4626865672,5.6417910448,96.0746268657,43.6925373134
6300,,1,2,95,6,153,-1,4907,5124,-1,617,685,9,2177,3046,10,399,1317,1,4225,5686,10325,12325,-2000,0,81.3333333333,10.873015873,48.3492063492,20.9047619048,90.253968254,50.3428571429
19300,2,1,2,32,-2,475,-2,939,1557,-2,2088,939,-2,2160,2087,-2,2180,2160,-2,1693,2154,7218,9060,-1842,0,8.067357513,4.8652849741,10.8134715026,11.1917098446,11.1606217617,9.2196891192
30100,2,2,1,41,-1,2900,-1,2986,3985,-1,2550,2985,-2,3403,2550,-1,3329,3403,-1,4963,3328,15823,17231,-1408,0,13.2392026578,9.9169435216,8.4717607973,11.3056478405,11.0564784053,10.7980066445
14400,1,1,1,38,-1,101,-1,268,201,-1,457,267,-1,622,454,-1,842,619,-1,763,837,1642,2952,-1310,0,1.3958333333,1.8541666667,3.1527777778,4.2986111111,5.8125,3.3027777778
17100,1,2,1,38,-2,741,-2,1361,943,-2,1137,1361,-2,1346,1136,-2,2081,1344,-2,840,2081,5525,6765,-1240,0,5.514619883,7.9590643275,6.6432748538,7.8596491228,12.1695906433,8.0292397661
4400,2,2,1,83,0,297,10,2057,2120,7,1157,1476,6,2236,2296,4,553,819,6,2184,2584,7008,8187,-1179,1,48.1818181818,33.5454545455,52.1818181818,18.6136363636,58.7272727273,42.25
19900,2,1,1,43,-1,1167,-1,1327,1079,-1,1954,1327,-1,2642,1954,-1,1751,2642,-1,1500,1751,8169,9174,-1005,0,5.4221105528,6.6683417085,9.8190954774,13.2763819095,8.7989949749,8.7969849246
9700,1,,1,60,3,1097,-1,106,127,1,1963,2234,4,3344,3733,12,2773,3880,3,3777,5057,11071,11963,-892,1,1.3092783505,23.0309278351,38.4845360825,40,52.1340206186,30.9917525773
9900,2,1,1,48,-1,1724,-1,1993,424,-1,795,1993,-1,2243,794,-1,1818,2243,-1,1197,1817,7178,8046,-868,0,4.2828282828,20.1313131313,8.0202020202,22.6565656566,18.3535353535,14.6888888889
5500,2,3,1,31,1,972,1,746,1888,7,603,1134,2,3,6,7,563,966,-1,3774,4386,4966,5689,-723,1,34.3272727273,20.6181818182,0.1090909091,17.5636363636,79.7454545455,30.4727272727
20100,2,1,1,37,-2,37,-2,374,389,-2,279,374,-2,475,279,-2,623,475,-2,517,623,1554,2268,-714,0,1.9353233831,1.8606965174,1.3880597015,2.3631840796,3.0995024876,2.1293532338
20100,2,1,1,34,-2,370,-2,496,431,-2,508,495,-2,321,506,-2,821,320,-2,665,821,2122,2811,-689,0,2.144278607,2.4626865672,2.5174129353,1.592039801,4.0845771144,2.560199005
14500,2,1,1,31,-1,423,-1,400,447,-1,400,400,-1,733,400,-1,756,733,-1,791,756,2403,3080,-677,0,3.0827586207,2.7586206897,2.7586206897,5.0551724138,5.2137931034,3.7737931034
20000,2,1,2,30,0,265,-1,383,359,-1,297,382,-1,445,297,-1,400,445,0,888,615,1748,2413,-665,0,1.795,1.91,1.485,2.225,3.075,2.098
16100,1,2,1,36,-1,280,-1,340,386,-1,360,324,-1,520,343,-1,820,505,-1,440,814,1838,2480,-642,0,2.397515528,2.0124223602,2.1304347826,3.1366459627,5.0559006211,2.9465838509
7100,2,1,2,33,-2,340,-2,399,208,-2,403,399,-2,531,403,-2,805,528,-2,377,805,1878,2515,-637,0,2.9295774648,5.6197183099,5.676056338,7.4366197183,11.338028169,6.6
16000,2,1,2,49,-2,263,-2,470,326,-2,425,469,-2,608,423,-2,460,605,-2,740,458,2086,2703,-617,0,2.0375,2.93125,2.64375,3.78125,2.8625,2.85125
4700,,2,1,97,10,1311,1,389,455,0,50,522,2,211,388,3,2779,4238,0,4076,4664,6914,7505,-591,1,9.6808510638,11.1063829787,8.2553191489,90.170212766,99.2340425532,43.6893617021
14300,1,2,2,30,-1,391,-1,450,267,-1,390,448,-1,352,389,-1,475,351,-1,761,474,1846,2428,-582,0,1.8671328671,3.1328671329,2.7202797203,2.4545454545,3.3146853147,2.6979020979
20100,1,1,1,51,-1,321,-1,509,526,-1,515,509,-1,960,515,-1,600,960,0,800,1084,2831,3384,-553,0,2.6169154229,2.5323383085,2.5621890547,4.776119403,5.3930348259,3.576119403
9400,,2,3,31,6,1788,7,866,4695,0,579,653,6,1433,1667,3,384,739,11,6828,8586,9542,10090,-548,0,49.9468085106,6.9468085106,17.7340425532,7.8617021277,91.3404255319,34.7659574468
20100,1,3,1,48,-1,721,-1,534,351,-1,664,528,-1,503,662,-1,571,503,-1,1032,571,2765,3304,-539,0,1.7462686567,2.6268656716,3.2935323383,2.5024875622,2.8407960199,2.6019900498
12300,2,1,1,41,-2,585,-2,558,75,-2,394,550,-2,311,393,-2,578,311,-2,568,578,1914,2409,-495,0,0.6097560976,4.4715447154,3.1951219512,2.5284552846,4.6991869919,3.1008130081
11300,2,1,2,33,-1,541,-1,596,132,-1,0,596,0,360,120,-1,462,360,-1,793,462,1749,2211,-462,0,1.1681415929,5.2743362832,1.0619469027,3.185840708,4.0884955752,2.9557522124
7100,2,2,2,50,-1,400,-1,400,400,-1,400,400,-1,800,400,-1,414,800,-1,836,414,2400,2850,-450,0,5.6338028169,5.6338028169,5.6338028169,11.2676056338,5.8309859155,6.8
10500,2,2,2,27,-1,20,-1,420,420,-1,420,420,-1,420,420,-1,420,420,-1,420,420,1700,2100,-400,0,4,4,4,4,4,4
6300,2,1,1,30,-1,38,-1,145,144,-1,108,145,0,243,108,-1,194,243,-1,377,194,678,1067,-389,1,2.2857142857,2.3015873016,1.7142857143,3.8571428571,3.0793650794,2.6476190476
12700,1,1,1,40,-1,330,-1,330,330,-1,330,330,-1,611,330,-1,644,611,-1,388,644,1931,2303,-372,0,2.5984251969,2.5984251969,2.5984251969,4.811023622,5.0708661417,3.5354330709
800,1,3,2,39,0,261,-1,200,336,0,138,404,-1,521,138,-1,380,521,-1,792,380,1660,2031,-371,0,42,50.5,17.25,65.125,47.5,44.475
11900,2,1,2,51,-2,898,-2,1059,1247,-2,1111,1059,-2,933,1111,-2,1966,933,-2,527,1966,5248,5596,-348,0,10.4789915966,8.8991596639,9.3361344538,7.8403361345,16.5210084034,10.6151260504
12700,2,1,2,34,-1,525,0,320,272,-1,280,312,-1,340,270,-1,520,334,-1,600,491,1713,2060,-347,0,2.1417322835,2.4566929134,2.125984252,2.6299212598,3.8661417323,2.6440944882
9500,2,3,2,23,0,7951,-1,7646,119,-1,3923,7646,-1,3175,3923,-1,4000,775,-1,2010,4000,20414,20754,-340,0,1.2526315789,80.4842105263,41.2947368421,8.1578947368,42.1052631579,34.6589473684
15900,2,3,2,37,-2,57,-2,281,325,-2,422,281,-2,535,421,-2,442,532,-2,267,441,1616,1947,-331,1,2.0440251572,1.7672955975,2.6477987421,3.3459119497,2.7735849057,2.5157232704
13900,2,2,1,56,-2,79,-2,533,578,-2,378,527,-2,421,376,-2,433,419,-2,515,431,1979,2280,-301,0,4.1582733813,3.7913669065,2.7050359712,3.0143884892,3.1007194245,3.3539568345
16700,1,1,2,30,-2,469,-2,195,354,-2,490,193,-2,305,487,-2,714,304,-1,402,711,1807,2106,-299,0,2.119760479,1.1556886228,2.9161676647,1.8203592814,4.2574850299,2.4538922156
14700,2,2,2,34,-2,804,-2,518,559,-2,455,518,-2,682,455,-2,1093,682,-2,566,1093,3018,3314,-296,0,3.8027210884,3.5238095238,3.0952380952,4.6394557823,7.4353741497,4.4993197279
20000,2,2,2,36,-2,447,-2,399,371,-2,689,399,-2,306,686,-2,643,306,-2,452,643,2209,2489,-280,0,1.855,1.995,3.43,1.53,3.215,2.405
9200,2,1,2,32,-1,130,-1,102,174,-1,178,102,-1,193,178,-1,253,193,-1,316,242,777,1042,-265,1,1.8913043478,1.1086956522,1.9347826087,2.097826087,2.6304347826,1.9326086957
7900,2,2,1,32,-1,206,-1,408,408,-1,408,408,-1,424,408,-1,448,424,-1,408,448,1854,2096,-242,0,5.164556962,5.164556962,5.164556962,5.3670886076,5.6708860759,5.3063291139
11300,2,2,1,36,-2,256,-2,512,333,-2,143,512,-2,414,143,-2,469,412,-2,352,469,1656,1890,-234,0,2.9469026549,4.5309734513,1.2654867257,3.6460176991,4.1504424779,3.3079646018
19900,1,1,1,36,-1,250,-1,285,418,-1,503,280,-2,323,501,-1,319,321,-1,556,318,1770,1986,-216,0,2.1005025126,1.4070351759,2.5175879397,1.6130653266,1.5979899497,1.8472361809
9500,1,1,1,45,-2,146,-2,169,363,-2,285,169,-2,327,285,-2,348,327,-2,372,348,1290,1501,-211,0,3.8210526316,1.7789473684,3,3.4421052632,3.6631578947,3.1410526316
8400,2,1,2,28,-1,234,-1,146,176,-1,300,146,-1,107,300,-1,378,107,-1,234,378,963,1165,-202,0,2.0952380952,1.7380952381,3.5714285714,1.2738095238,4.5,2.6357142857
15900,1,1,1,39,-1,70,-1,81,282,-1,347,81,-1,341,347,-1,162,341,-1,380,162,1121,1311,-190,0,1.7735849057,0.5094339623,2.1823899371,2.1446540881,1.0188679245,1.5257861635
6500,2,1,1,42,-2,0,-2,76,154,-2,181,75,-2,238,180,-2,119,237,-2,208,119,646,822,-176,0,2.3692307692,1.1538461538,2.7692307692,3.6461538462,1.8307692308,2.3538461538
16000,2,1,1,31,1,0,-1,133,133,-1,153,133,-1,196,153,-1,187,196,-1,120,187,615,789,-174,0,0.83125,0.83125,0.95625,1.225,1.16875,1.0025
8900,2,1,2,28,0,190,0,152,196,-1,340,152,-1,234,319,-1,452,234,-1,83,452,1091,1261,-170,0,2.202247191,1.7078651685,3.5842696629,2.6292134831,5.0786516854,3.0404494382
8900,2,2,1,38,-2,231,-2,344,167,-2,468,342,-2,633,466,-2,317,599,-2,212,316,1805,1974,-169,0,1.8764044944,3.8426966292,5.2359550562,6.7303370787,3.5505617978,4.2471910112
7900,2,1,2,32,-2,41,-2,65,41,-2,89,65,-2,108,88,-2,153,108,-2,89,152,343,504,-161,0,0.5189873418,0.8227848101,1.1139240506,1.3670886076,1.9240506329,1.1493670886
11600,2,1,2,29,-1,266,-1,463,633,-1,327,439,-1,597,327,-1,783,597,-1,252,783,2262,2422,-160,0,5.4568965517,3.7844827586,2.8189655172,5.1465517241,6.75,4.7913793103
